created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness
2007-01-19 10:01:59+00:00,3340323,,,Significance of Pollution Awareness Events,0.411505431,believer,male,,not aggressive
2007-01-21 09:30:57+00:00,3564043,13.61232,43.43617,Weather Extremes,0.832811214,neutral,male,5.682824,not aggressive
2007-01-21 11:00:58+00:00,3568763,,,Global stance,0.07105726,neutral,male,,not aggressive
2007-01-21 12:01:44+00:00,3571023,,,Global stance,-0.498420775,believer,male,,not aggressive
2007-01-21 20:05:56+00:00,3603643,,,Weather Extremes,0.243266732,believer,male,,aggressive
2007-01-22 21:53:08+00:00,3734443,,,Donald Trump versus Science,0.491507631,neutral,male,,aggressive
2007-01-23 15:50:31+00:00,3819323,,,Importance of Human Intervantion,-0.374999893,believer,male,,not aggressive
2007-01-23 15:50:42+00:00,3819393,,,Importance of Human Intervantion,-0.374999893,believer,male,,not aggressive
2007-01-23 16:10:31+00:00,3821293,-0.1276474,51.5073219,Importance of Human Intervantion,-0.374999893,believer,male,-3.0751328,not aggressive
2007-01-24 01:20:35+00:00,3882043,,,Weather Extremes,0.595921947,believer,male,,aggressive
2007-01-24 10:10:07+00:00,3922063,,,Weather Extremes,0.118838989,neutral,male,,aggressive
2007-01-24 10:10:33+00:00,3922153,-0.12574,51.50853,Global stance,-0.588504805,neutral,male,-2.8180542,aggressive
2007-01-24 10:11:12+00:00,3922243,-0.12574,51.50853,Global stance,-0.588504805,neutral,male,-2.8180542,aggressive
2007-01-24 10:13:18+00:00,3922373,-80.24417,25.96389,Weather Extremes,0.56707136,denier,undefined,3.7465112,not aggressive
2007-01-24 10:20:29+00:00,3922773,,,Global stance,-0.588504805,neutral,male,,aggressive
2007-01-25 06:07:50+00:00,4026763,,,Weather Extremes,0.539232915,neutral,male,,aggressive
2007-01-26 21:43:00+00:00,4242813,,,Weather Extremes,0.351422559,neutral,female,,aggressive
2007-01-27 14:20:34+00:00,4306383,,,Global stance,-0.369648242,believer,male,,not aggressive
2007-01-27 14:30:32+00:00,4306863,-0.1276474,51.5073219,Global stance,-0.369648242,believer,male,1.5351759,not aggressive
2007-01-27 14:40:38+00:00,4307243,,,Global stance,-0.369648242,believer,male,,not aggressive
2007-01-27 17:51:07+00:00,4318073,-0.1276474,51.5073219,Global stance,-0.31739507,believer,male,1.5351759,not aggressive
2007-01-30 18:16:14+00:00,4709463,,,Weather Extremes,0.766852158,neutral,male,,not aggressive
2007-01-30 18:30:16+00:00,4711363,,,Importance of Human Intervantion,0.320537362,neutral,male,,not aggressive
2007-01-30 20:38:00+00:00,4729003,-0.12574,51.50853,Undefined / One Word Hashtags,-0.118446622,believer,male,2.1094387,aggressive
2007-01-31 05:48:31+00:00,4790723,,,Global stance,-0.474845603,believer,male,,not aggressive
2007-01-31 09:38:44+00:00,4805803,-0.12574,51.50853,Global stance,-0.122697413,believer,male,1.9527698,not aggressive
2007-02-01 08:45:09+00:00,4951613,,,Weather Extremes,0.504999766,believer,male,,not aggressive
2007-02-01 12:50:26+00:00,4969943,,,Weather Extremes,0.580045102,believer,male,,aggressive
2007-02-01 14:46:54+00:00,4982153,-79.3839347,43.6534817,Weather Extremes,-0.595624893,neutral,male,-0.04534871,not aggressive
2007-02-01 17:23:48+00:00,5005423,,,Importance of Human Intervantion,0.505937645,believer,male,,not aggressive
2007-02-01 18:49:24+00:00,5016233,,,Importance of Human Intervantion,-0.220228615,believer,male,,not aggressive
2007-02-01 19:15:13+00:00,5019373,,,Global stance,-0.397140428,believer,male,,not aggressive
2007-02-01 22:30:31+00:00,5044463,-0.12574,51.50853,Importance of Human Intervantion,-0.073104015,believer,male,3.967322,not aggressive
2007-02-02 07:50:38+00:00,5091903,,,Global stance,0.016648375,neutral,undefined,,not aggressive
2007-02-02 09:09:49+00:00,5096513,-1.89983,52.48142,Politics,-0.088139123,neutral,male,2.991084,aggressive
2007-02-02 14:20:13+00:00,5119513,,,Weather Extremes,0.116726552,neutral,male,,not aggressive
2007-02-02 16:24:26+00:00,5131193,,,Importance of Human Intervantion,-0.536818421,believer,male,,aggressive
2007-02-02 18:15:51+00:00,5144253,-73.9495823,40.6501038,Weather Extremes,0.159729716,neutral,male,1.846384,not aggressive
2007-02-02 20:09:58+00:00,5157463,,,Importance of Human Intervantion,0.296478387,neutral,male,,aggressive
2007-02-03 02:20:21+00:00,5196513,,,Importance of Human Intervantion,-0.500312544,believer,male,,aggressive
2007-02-03 02:30:23+00:00,5197163,-0.1276474,51.5073219,Importance of Human Intervantion,-0.496617384,believer,male,0.095783636,not aggressive
2007-02-03 04:12:34+00:00,5203523,-3.18,51.48,Weather Extremes,-0.378139166,believer,male,-0.0455239,aggressive
2007-02-03 15:15:01+00:00,5235923,,,Importance of Human Intervantion,0.029538259,believer,male,,not aggressive
2007-02-04 02:06:56+00:00,5288583,,,Ideological Positions on Global Warming,-0.089225515,believer,male,,aggressive
2007-02-04 20:39:05+00:00,5314366,-118.32674,34.09834,Weather Extremes,0.638788186,believer,male,4.387858,not aggressive
2007-02-04 20:52:31+00:00,5314470,,,Importance of Human Intervantion,0.475117281,neutral,male,,not aggressive
2007-02-04 21:12:58+00:00,5314615,,,Donald Trump versus Science,0.559563799,neutral,male,,aggressive
2007-02-05 16:48:57+00:00,5324848,-86.7743531,36.1622296,Weather Extremes,-0.220481278,neutral,male,-8.849,not aggressive
2007-02-05 21:55:41+00:00,5328495,-114.0625892,51.0534234,Importance of Human Intervantion,0.497590928,neutral,male,8.448126,not aggressive
2007-02-06 07:27:05+00:00,5333741,,,Global stance,0.577130948,neutral,male,,aggressive
2007-02-06 08:39:43+00:00,5334170,-122.6741949,45.5202471,Seriousness of Gas Emissions,-0.247723411,neutral,male,2.4982007,aggressive
2007-02-06 10:19:15+00:00,5334810,-0.12574,51.50853,Importance of Human Intervantion,-0.398106729,believer,male,-3.605249,not aggressive
2007-02-06 12:48:40+00:00,5336007,-0.12574,51.50853,Weather Extremes,0.044129946,believer,male,-3.605249,not aggressive
2007-02-06 21:40:46+00:00,5342226,,,Importance of Human Intervantion,0.7919917,neutral,male,,not aggressive
2007-02-07 06:08:54+00:00,5348201,,,Importance of Human Intervantion,-0.364389344,believer,male,,not aggressive
2007-02-07 06:09:20+00:00,5348207,-0.12574,51.50853,Importance of Human Intervantion,-0.364153354,believer,male,-4.560754,not aggressive
2007-02-07 12:39:30+00:00,5351404,,,Weather Extremes,-0.516856306,neutral,female,,aggressive
2007-02-07 14:44:32+00:00,5352771,,,Weather Extremes,0.07176983,neutral,male,,not aggressive
2007-02-07 17:52:34+00:00,5355713,,,Weather Extremes,-0.716825041,denier,male,,aggressive
2007-02-08 08:49:33+00:00,5367098,,,Weather Extremes,-0.14383291,denier,female,,not aggressive
2007-02-09 15:46:29+00:00,5392174,-77.0074765,38.9778882,Donald Trump versus Science,-0.419884247,neutral,male,-6.8944745,aggressive
2007-02-11 17:50:55+00:00,5431384,-122.67621,45.52345,Weather Extremes,-0.646425789,neutral,male,1.9020926,not aggressive
2007-02-12 06:51:49+00:00,5448722,-123.11934,49.24966,Weather Extremes,-0.37224224,neutral,male,2.4606283,not aggressive
2007-02-12 18:11:13+00:00,5461182,,,Global stance,0.563521611,believer,male,,aggressive
2007-02-12 19:10:18+00:00,5462793,,,Importance of Human Intervantion,-0.132112417,believer,male,,aggressive
2007-02-12 19:12:09+00:00,5462838,-0.12574,51.50853,Importance of Human Intervantion,-0.129529972,believer,male,3.3250158,not aggressive
2007-02-13 17:33:58+00:00,5482273,,,Politics,-0.034180982,neutral,male,,not aggressive
2007-02-13 21:01:12+00:00,5486243,,,Politics,-0.034180982,neutral,male,,not aggressive
2007-02-14 07:11:12+00:00,5495631,,,Politics,-0.448667444,neutral,male,,not aggressive
2007-02-14 07:40:10+00:00,5495854,,,Politics,-0.523454335,neutral,male,,not aggressive
2007-02-14 08:00:16+00:00,5496024,,,Politics,-0.523454335,neutral,male,,not aggressive
2007-02-14 10:50:36+00:00,5497780,-0.12574,51.50853,Global stance,0.349929505,believer,male,2.1599507,not aggressive
2007-02-14 14:54:19+00:00,5500970,-111.50098,34.5003,Weather Extremes,-0.545773189,neutral,male,-2.213687,not aggressive
2007-02-14 19:32:21+00:00,5506352,,,Weather Extremes,0.764989425,neutral,male,,not aggressive
2007-02-14 20:23:12+00:00,5507294,-76.30551,40.03788,Weather Extremes,-0.60698612,neutral,male,-4.9403877,not aggressive
2007-02-14 22:40:43+00:00,5510092,,,Weather Extremes,-0.410348136,believer,male,,aggressive
2007-02-15 13:00:53+00:00,5519348,,,Importance of Human Intervantion,-0.004602625,believer,male,,not aggressive
2007-02-15 13:01:38+00:00,5519358,-0.1276474,51.5073219,Importance of Human Intervantion,-0.004602625,believer,male,1.5019717,not aggressive
2007-02-15 13:02:19+00:00,5519363,-0.1276474,51.5073219,Importance of Human Intervantion,-0.007063179,believer,male,1.5019717,not aggressive
2007-02-16 01:43:54+00:00,5531579,-114.0625892,51.0534234,Importance of Human Intervantion,0.323378816,neutral,male,6.906876,not aggressive
2007-02-16 02:10:12+00:00,5531972,,,Global stance,0.074312805,believer,male,,not aggressive
2007-02-16 02:10:48+00:00,5531980,-0.12574,51.50853,Global stance,0.074312805,believer,male,2.9423597,not aggressive
2007-02-16 09:00:17+00:00,5535832,,,Importance of Human Intervantion,0.031472227,believer,male,,not aggressive
2007-02-16 10:51:12+00:00,5536756,-0.12574,51.50853,Global stance,0.457602693,believer,male,2.9423597,not aggressive
2007-02-16 11:00:14+00:00,5536827,,,Global stance,0.461113616,believer,male,,not aggressive
2007-02-16 15:22:48+00:00,5539932,-0.12574,51.50853,Global stance,-0.311092046,believer,male,2.9423597,aggressive
2007-02-16 23:07:55+00:00,5547472,-77.8616386,40.7944504,Weather Extremes,0.621439283,neutral,female,-8.993566,aggressive
2007-02-17 16:36:44+00:00,5557164,,,Weather Extremes,-0.095622891,neutral,male,,aggressive
2007-02-17 23:00:20+00:00,5562179,,,Weather Extremes,-0.295409474,neutral,male,,aggressive
2007-02-18 14:34:28+00:00,5570498,,,Weather Extremes,0.822940264,neutral,male,,not aggressive
2007-02-18 14:59:51+00:00,5570737,,,Global stance,0.376250627,believer,male,,not aggressive
2007-02-19 00:21:07+00:00,5577833,-0.12574,51.50853,Seriousness of Gas Emissions,-0.416923478,neutral,male,2.864054,not aggressive
2007-02-19 00:30:33+00:00,5577919,-0.12574,51.50853,Donald Trump versus Science,-0.433762506,neutral,male,2.864054,not aggressive
2007-02-19 10:10:12+00:00,5583984,,,Global stance,0.669206517,neutral,male,,not aggressive
2007-02-21 06:25:37+00:00,5618519,,,Impact of Resource Overconsumption,0.168158975,neutral,male,,aggressive
2007-02-21 18:48:01+00:00,5626819,-78.47668,38.02931,Global stance,0.304706445,believer,male,4.414888,aggressive
2007-02-21 18:51:28+00:00,5626892,-78.49973473,38.0360726,Global stance,-0.421734745,neutral,male,4.414888,aggressive
2007-02-22 11:00:31+00:00,5638797,-122.4199061,37.7790262,Global stance,0.483230084,neutral,male,-2.0571346,not aggressive
2007-02-23 11:20:50+00:00,5656607,-0.1276474,51.5073219,Global stance,0.404781594,believer,male,4.096515,not aggressive
2007-02-23 19:14:42+00:00,5663814,,,Impact of Resource Overconsumption,0.565389698,neutral,male,,aggressive
2007-02-24 03:40:37+00:00,5671404,-0.1276474,51.5073219,Weather Extremes,-0.757519159,believer,male,3.926739,not aggressive
2007-02-25 19:23:46+00:00,5692369,-77.3411,38.96872,Weather Extremes,0.155802743,neutral,undefined,-2.418007,aggressive
2007-02-27 23:19:23+00:00,5738821,,,Weather Extremes,-0.442434787,neutral,male,,aggressive
2007-02-28 22:57:51+00:00,5760758,,,Weather Extremes,-0.225877396,believer,male,,not aggressive
2007-03-01 09:57:30+00:00,5768743,,,Importance of Human Intervantion,0.509755519,believer,male,,aggressive
2007-03-01 18:31:41+00:00,5776235,,,Politics,0.365009427,believer,male,,not aggressive
2007-03-02 01:10:47+00:00,5784515,-0.1276474,51.5073219,Importance of Human Intervantion,-0.699645931,believer,male,0.66551006,not aggressive
2007-03-02 17:08:12+00:00,5798215,,,Weather Extremes,-0.398961827,neutral,male,,not aggressive
2007-03-03 15:23:53+00:00,5815448,-97.77889812,30.28798555,Weather Extremes,-0.253727533,denier,male,-2.74234,not aggressive
2007-03-03 16:00:00+00:00,5815932,,,Global stance,-0.507289657,believer,male,,not aggressive
2007-03-03 23:00:00+00:00,5822322,,,Global stance,-0.507289657,believer,male,,not aggressive
2007-03-03 23:36:24+00:00,5822903,-6.24889,53.33306,Weather Extremes,0.762471279,believer,male,0.935315,not aggressive
2007-03-04 16:12:39+00:00,5832409,,,Global stance,-0.365709653,believer,male,,not aggressive
2007-03-06 05:19:05+00:00,5869934,-97.74306,30.26715,Global stance,-0.304781407,neutral,male,-2.5802965,aggressive
2007-03-06 11:05:49+00:00,5873884,-0.12574,51.50853,Weather Extremes,0.665448205,neutral,male,4.004383,not aggressive
2007-03-06 21:41:16+00:00,5887766,-77.03637,38.89511,Importance of Human Intervantion,-0.358961463,neutral,male,-5.4641523,aggressive
2007-03-06 23:13:43+00:00,5889947,,,Weather Extremes,-0.514677419,neutral,male,,not aggressive
2007-03-07 11:00:22+00:00,5901274,,,Importance of Human Intervantion,0.325802371,neutral,male,,not aggressive
2007-03-07 11:01:22+00:00,5901292,-0.1276474,51.5073219,Importance of Human Intervantion,0.326331735,neutral,male,2.0369189,not aggressive
2007-03-07 18:24:32+00:00,5909852,-84.7686732,33.5790874,Global stance,-0.719613386,neutral,male,0.86894876,aggressive
2007-03-07 23:05:04+00:00,5916898,-121.890583,37.3361905,Global stance,0.092572507,neutral,undefined,1.7118722,not aggressive
2007-03-08 01:21:00+00:00,5920058,-0.12574,51.50853,Importance of Human Intervantion,-0.015027978,believer,male,1.8631887,not aggressive
2007-03-08 01:40:21+00:00,5920469,,,Importance of Human Intervantion,-0.007633783,believer,male,,not aggressive
2007-03-08 07:35:43+00:00,5925915,-118.24368,34.05223,Weather Extremes,-0.374627549,neutral,female,2.5380404,aggressive
2007-03-08 10:12:22+00:00,5927280,,,Weather Extremes,-0.38302559,neutral,male,,aggressive
2007-03-08 16:01:04+00:00,5933596,5.17639,52.22333,Weather Extremes,-0.668835155,believer,male,3.0827353,aggressive
2007-03-08 16:11:17+00:00,5933831,-0.1276474,51.5073219,Importance of Human Intervantion,0.334769626,believer,male,1.8631887,not aggressive
2007-03-08 18:12:58+00:00,5936253,-0.1276474,51.5073219,Importance of Human Intervantion,0.334769626,believer,male,1.8631887,not aggressive
2007-03-08 21:21:04+00:00,5940181,0.1235817,52.2034823,Donald Trump versus Science,0.719953484,neutral,male,1.9259287,aggressive
2007-03-08 21:29:10+00:00,5940514,-95.4627651,45.9340479,Importance of Human Intervantion,0.443399996,believer,female,-0.97172993,aggressive
2007-03-09 21:28:59+00:00,6154391,,,Weather Extremes,0.069859552,neutral,male,,not aggressive
2007-03-11 01:54:23+00:00,6512881,,,Weather Extremes,-0.699877456,believer,male,,aggressive
2007-03-11 03:19:35+00:00,6532961,,,Global stance,-0.367768973,neutral,undefined,,not aggressive
2007-03-11 04:40:46+00:00,6550371,-0.12574,51.50853,Global stance,-0.083717155,neutral,male,3.4926407,aggressive
2007-03-11 04:50:19+00:00,6552181,,,Global stance,-0.082877594,neutral,male,,aggressive
2007-03-11 04:50:54+00:00,6552351,,,Global stance,-0.082877594,neutral,male,,aggressive
2007-03-11 11:01:01+00:00,6607731,,,Importance of Human Intervantion,-0.651993008,neutral,male,,aggressive
2007-03-11 11:01:22+00:00,6607761,,,Importance of Human Intervantion,-0.651993008,neutral,male,,aggressive
2007-03-11 11:01:59+00:00,6607811,-0.1276474,51.5073219,Importance of Human Intervantion,-0.653203892,neutral,male,3.4926407,aggressive
2007-03-11 11:20:21+00:00,6609921,-0.1276474,51.5073219,Importance of Human Intervantion,-0.651993008,neutral,male,3.4926407,aggressive
2007-03-12 00:10:42+00:00,6805041,,,Importance of Human Intervantion,-0.385736488,believer,male,,aggressive
2007-03-12 00:12:06+00:00,6805491,-0.12574,51.50853,Importance of Human Intervantion,-0.382529445,believer,male,3.947979,not aggressive
2007-03-12 06:00:23+00:00,6893811,,,Importance of Human Intervantion,0.16655688,believer,male,,not aggressive
2007-03-12 06:10:27+00:00,6896381,,,Importance of Human Intervantion,0.16655688,believer,male,,not aggressive
2007-03-12 06:47:01+00:00,6903911,,,Global stance,-0.006077019,neutral,male,,not aggressive
2007-03-12 08:20:50+00:00,6920201,-0.12574,51.50853,Importance of Human Intervantion,0.134531051,believer,male,3.947979,not aggressive
2007-03-12 08:44:24+00:00,6923751,-0.1276474,51.5073219,Importance of Human Intervantion,0.16655688,believer,male,3.947979,not aggressive
2007-03-12 18:00:40+00:00,7060601,,,Politics,0.388443905,believer,male,,aggressive
2007-03-12 18:29:55+00:00,7071801,,,Weather Extremes,0.21705627,believer,male,,not aggressive
2007-03-13 04:20:17+00:00,7269161,,,Seriousness of Gas Emissions,-0.523833091,believer,male,,not aggressive
2007-03-13 04:20:54+00:00,7269261,-0.1276474,51.5073219,Seriousness of Gas Emissions,-0.525371159,believer,male,2.28582,not aggressive
2007-03-13 04:30:21+00:00,7271261,,,Seriousness of Gas Emissions,-0.523833091,believer,male,,not aggressive
2007-03-13 05:00:42+00:00,7278281,,,Seriousness of Gas Emissions,-0.523833091,believer,male,,not aggressive
2007-03-13 06:10:27+00:00,7293441,-0.12574,51.50853,Seriousness of Gas Emissions,-0.523833091,believer,male,2.28582,not aggressive
2007-03-13 17:16:54+00:00,7454191,,,Weather Extremes,0.511453998,neutral,male,,not aggressive
2007-03-13 21:17:04+00:00,7540351,,,Donald Trump versus Science,0.316466916,neutral,male,,not aggressive
2007-03-13 23:03:07+00:00,7581801,-122.4199061,37.7790262,Weather Extremes,-0.433603557,denier,male,4.5855503,aggressive
2007-03-14 21:21:58+00:00,7929981,-78.49973473,38.0360726,Weather Extremes,0.099208339,neutral,male,9.466007,aggressive
2007-03-14 22:01:34+00:00,7942241,-117.1627728,32.7174202,Weather Extremes,0.541883168,denier,male,1.0449519,aggressive
2007-03-15 01:00:24+00:00,7997781,-0.1276474,51.5073219,Global stance,0.206580225,believer,male,1.1931409,not aggressive
2007-03-15 01:11:34+00:00,8001651,,,Global stance,0.206580225,believer,male,,not aggressive
2007-03-15 10:31:51+00:00,8120951,-0.12574,51.50853,Politics,-0.482886866,neutral,male,1.1931409,not aggressive
2007-03-15 13:46:36+00:00,8167361,,,Weather Extremes,-0.380381975,neutral,male,,not aggressive
2007-03-15 18:07:08+00:00,8240571,,,Global stance,0.628527078,believer,male,,not aggressive
2007-03-15 19:03:49+00:00,8256431,,,Weather Extremes,0.081815237,denier,male,,aggressive
2007-03-16 01:11:41+00:00,8438071,-0.12574,51.50853,Importance of Human Intervantion,0.373176813,believer,male,1.8069937,not aggressive
2007-03-16 01:26:56+00:00,8441381,-0.1276474,51.5073219,Importance of Human Intervantion,0.392182976,believer,male,1.8069937,not aggressive
2007-03-16 10:01:54+00:00,8527031,-121.890583,37.3361905,Donald Trump versus Science,-0.462969276,believer,undefined,6.207691,not aggressive
2007-03-16 16:48:43+00:00,8640031,-75.1521195,40.1023326,Weather Extremes,0.089289893,denier,male,-2.4732797,aggressive
2007-03-16 17:34:17+00:00,8654171,,,Global stance,0.024533539,believer,male,,not aggressive
2007-03-16 18:32:31+00:00,8672141,,,Weather Extremes,-0.357616818,neutral,male,,aggressive
2007-03-16 19:11:10+00:00,8686211,-74.00597,40.71427,Weather Extremes,-0.375816572,neutral,female,-2.6109533,not aggressive
2007-03-16 19:26:44+00:00,8691121,-117.85311,33.78779,Seriousness of Gas Emissions,-0.492079649,believer,female,4.6093016,aggressive
2007-03-17 01:00:23+00:00,8796321,,,Global stance,-0.517117128,neutral,male,,aggressive
2007-03-17 01:01:05+00:00,8796491,-0.12574,51.50853,Global stance,-0.517117128,neutral,male,4.366388,aggressive
2007-03-17 01:02:02+00:00,8796821,-0.12574,51.50853,Global stance,-0.516471878,neutral,male,4.366388,aggressive
2007-03-17 15:01:29+00:00,8939611,,,Seriousness of Gas Emissions,-0.225945724,denier,male,,aggressive
2007-03-17 15:32:47+00:00,8947751,,,Weather Extremes,0.301903705,denier,male,,aggressive
2007-03-17 16:21:25+00:00,8960981,6.6327025,46.5218269,Weather Extremes,0.014822152,neutral,male,1.9531922,aggressive
2007-03-17 23:53:14+00:00,9111001,,,Global stance,-0.734843267,neutral,male,,not aggressive
2007-03-19 05:16:29+00:00,9542461,-122.3300624,47.6038321,Weather Extremes,0.166309921,neutral,male,2.1994555,aggressive
2007-03-19 16:15:07+00:00,9709891,,,Seriousness of Gas Emissions,-0.614265229,neutral,male,,aggressive
2007-03-19 17:21:37+00:00,9732201,-0.12574,51.50853,Seriousness of Gas Emissions,-0.614265229,neutral,male,-2.3600519,aggressive
2007-03-20 00:30:56+00:00,9840761,-0.12574,51.50853,Global stance,-0.492482357,believer,male,-3.0661561,not aggressive
2007-03-20 01:20:48+00:00,9860761,-0.12574,51.50853,Global stance,-0.496433698,believer,male,-3.0661561,not aggressive
2007-03-20 05:45:30+00:00,9943971,,,Significance of Pollution Awareness Events,0.03921895,believer,female,,not aggressive
2007-03-20 17:08:47+00:00,10107481,-74.0060152,40.7127281,Weather Extremes,-0.582631505,neutral,female,-1.2646699,aggressive
2007-03-20 18:52:15+00:00,10138541,-122.3300624,47.6038321,Importance of Human Intervantion,0.339373901,believer,male,-1.6108068,not aggressive
2007-03-20 22:56:43+00:00,10219231,,,Weather Extremes,0.634419925,neutral,male,,not aggressive
2007-03-21 00:38:26+00:00,10255751,-122.4199061,37.7790262,Seriousness of Gas Emissions,0.528303679,neutral,male,-0.6205893,aggressive
2007-03-21 04:41:42+00:00,10339091,,,Impact of Resource Overconsumption,-0.022769738,denier,male,,aggressive
2007-03-21 10:00:59+00:00,10408891,,,Global stance,0.147899063,neutral,male,,not aggressive
2007-03-21 13:59:07+00:00,10483901,-86.12749,40.04282,Weather Extremes,-0.201936923,neutral,male,3.8596501,not aggressive
2007-03-21 23:30:32+00:00,10746521,-0.12574,51.50853,Politics,-0.312028844,believer,male,-3.2652094,aggressive
2007-03-21 23:31:07+00:00,10746841,-0.12574,51.50853,Politics,-0.299888912,believer,male,-3.2652094,aggressive
2007-03-22 00:10:24+00:00,10764391,,,Politics,-0.312028844,believer,male,,aggressive
2007-03-22 03:33:26+00:00,10841691,-85.6678639,42.9632405,Weather Extremes,-0.431288401,neutral,male,8.6718445,aggressive
2007-03-22 04:26:58+00:00,10860171,-81.4023356,40.875891,Importance of Human Intervantion,0.489258984,believer,male,8.178496,not aggressive
2007-03-22 06:51:23+00:00,10895061,,,Global stance,-0.460789456,neutral,male,,not aggressive
2007-03-22 07:16:35+00:00,10900491,,,Politics,0.372561756,neutral,male,,not aggressive
2007-03-22 17:20:00+00:00,11109271,-81.4023356,40.875891,Ideological Positions on Global Warming,0.055445254,neutral,male,8.178496,aggressive
2007-03-22 18:16:50+00:00,11132721,-73.58781,45.50884,Global stance,0.02957432,believer,male,4.1437707,aggressive
2007-03-22 19:09:27+00:00,11152691,,,Global stance,0.427267608,neutral,male,,aggressive
2007-03-23 02:07:25+00:00,11317251,,,Weather Extremes,0.79579292,neutral,male,,aggressive
2007-03-23 19:20:53+00:00,11697711,-81.69541,41.4995,Seriousness of Gas Emissions,-0.535240455,neutral,female,5.833805,not aggressive
2007-03-24 01:21:34+00:00,11851141,-122.2708,37.80437,Donald Trump versus Science,-0.488164201,neutral,female,1.2359344,aggressive
2007-03-24 05:26:53+00:00,11927681,,,Importance of Human Intervantion,-0.467819712,neutral,male,,aggressive
2007-03-24 13:03:07+00:00,12016531,-9.208969409,38.65374105,Weather Extremes,0.679273007,neutral,male,-1.1806747,not aggressive
